School,Starting,MidCareer
California Institute of Technology,75500,123000
Carnegie Mellon University ,61800,111000
Colorado School of Mines ,58100,106000
Cooper Union ,62200,114000
Embry-Riddle Aeronautical University ,52700,80700
Georgia Institute of Technology ,58300,106000
Harvey Mudd College ,71800,122000
Illinois Institute of Technology,56000,97800
Massachusetts Institute of Technology,72200,126000
New Mexico Institute of Mining and Technology,51000,93400
"Polytechnic University of New York, Brooklyn ",62400,114000
Rensselaer Polytechnic Institute ,61100,110000
Rochester Institute of Technology ,48900,84600
South Dakota School of Mines & Technology ,55800,93400
Stevens Institute of Technology ,60600,105000
Tennessee Technological University ,46200,80000
Virginia Polytechnic Institute and State University  ,53500,95400
Wentworth Institute of Technology ,53000,96700
Worcester Polytechnic Institute ,61000,114000
