Domestic Demand ($ million),Price of milk ($ per hundredweight (cwt)),price of suger,Per capita dairy consumption,consumer spending,adult obsity rate,frozen yogurt revenue,labor,Imports ($ million),Average Temperature By Year(F)
11901.80 ,20.00 ,5.23 ,603.17 ,10093.80 ,26.61 ,938.40 ,380.83 ,60.20 ,53.40 
11287.50 ,16.60 ,5.95 ,611.70 ,10386.20 ,26.50 ,1067.70 ,386.68 ,54.00 ,53.80 
11043.90 ,23.90 ,6.18 ,611.97 ,10638.70 ,26.38 ,1089.80 ,383.67 ,48.50 ,53.80 
9598.80 ,22.40 ,6.35 ,606.30 ,10654.70 ,27.07 ,1252.90 ,396.87 ,46.20 ,51.90 
9337.40 ,15.60 ,6.84 ,606.64 ,10515.60 ,27.95 ,1154.90 ,405.50 ,57.10 ,52.10 
8887.80 ,19.60 ,7.54 ,603.44 ,10716.00 ,27.93 ,1099.10 ,385.52 ,59.20 ,52.70 
8481.80 ,23.70 ,8.20 ,603.35 ,10898.30 ,27.40 ,1207.70 ,389.37 ,66.10 ,51.80 
8048.30 ,21.40 ,8.33 ,614.07 ,11047.40 ,27.70 ,1381.30 ,400.00 ,79.70 ,56.60 
8203.90 ,22.80 ,7.72 ,606.45 ,11211.70 ,28.30 ,1420.00 ,397.63 ,58.90 ,53.30 
8617.90 ,26.80 ,7.31 ,614.93 ,11515.30 ,28.90 ,1384.30 ,410.39 ,58.80 ,55.60 
8132.70 ,18.90 ,7.84 ,628.50 ,11892.90 ,28.90 ,1278.40 ,428.75 ,57.90 ,56.30 
8857.70 ,17.80 ,7.70 ,644.38 ,12187.70 ,29.60 ,1244.50 ,431.66 ,68.40 ,56.20 
7813.40 ,19.00 ,7.77 ,643.07 ,12483.70 ,30.10 ,1032.80 ,450.85 ,68.00 ,56.10 
8571.50 ,17.10 ,7.40 ,644.32 ,12845.00 ,30.90 ,834.70 ,461.21 ,86.60 ,56.20 
8191.60 ,19.10 ,7.08 ,651.54 ,13126.30 ,31.40 ,740.60 ,481.10 ,81.80 ,53.60 
8291.30 ,18.60 ,7.60 ,654.55 ,12629.90 ,31.90 ,661.30 ,513.92 ,133.50 ,55.70 
8657.00 ,17.80 ,8.21 ,653.75 ,13629.40 ,32.33 ,676.60 ,516.75 ,247.80 ,56.30 
